elements	DOWN_Willis2017	UP_Willis2017	Minderjahn2020	Sive2016	Steidl2017	DeKoter2011	TIS_UP	TIS_DOWN	TIS_shPU1_DOWN	TIS_shPU1_UP	UT_shPU1_DOWN	UT_shPU1_UP
H2-AA	0	0	0	0	0	0	1	0	1	0	1	0
AC168977.1	0	0	0	0	0	0	1	0	1	0	1	0
TMSB4X	0	0	0	0	0	0	1	0	1	0	1	0
LZTS2	0	0	0	0	0	0	1	0	0	1	0	1
ENDOU	0	0	0	0	0	0	0	1	0	1	0	1
LCK	0	0	0	0	0	0	0	1	0	1	0	1
ZMAT1	1	0	1	0	0	0	0	0	0	0	0	0
CD84	1	0	1	0	0	0	0	0	0	0	0	0
FAM167A	1	0	1	0	0	0	0	0	0	0	0	0
LPAR2	1	0	1	0	0	0	0	0	0	0	0	0
GAPT	1	0	1	0	0	0	0	0	0	0	0	0
PKIB	1	0	1	0	0	0	0	0	0	0	0	0
EVI2B	1	0	1	0	0	0	0	0	0	0	0	0
GAB3	1	0	1	0	0	0	0	0	0	0	0	0
MANBA	1	0	1	0	0	0	0	0	0	0	0	0
AMICA1	1	0	1	0	0	0	0	0	0	0	0	0
GMIP	1	0	1	0	0	0	0	0	0	0	0	0
LPCAT2	1	0	1	0	0	0	0	0	0	0	0	0
WDFY4	1	0	1	0	0	0	0	0	0	0	0	0
ARHGAP9	1	0	1	0	0	0	0	0	0	0	0	0
IFNGR2	1	0	0	1	0	0	0	0	0	0	0	0
CFP	1	0	0	1	0	0	0	0	0	0	0	0
RASSF4	1	0	0	1	0	0	0	0	0	0	0	0
RGS18	1	0	0	1	0	0	0	0	0	0	0	0
CD53	1	0	0	0	1	0	0	0	0	0	0	0
CLIP2	1	0	0	0	1	0	0	0	0	0	0	0
TLE4	1	0	0	0	1	0	0	0	0	0	0	0
NLRC4	1	0	0	0	1	0	0	0	0	0	0	0
HIP1	1	0	0	0	1	0	0	0	0	0	0	0
AKAP7	1	0	0	0	1	0	0	0	0	0	0	0
CSGALNACT2	1	0	0	0	1	0	0	0	0	0	0	0
DHRS3	1	0	0	0	1	0	0	0	0	0	0	0
EPB41L2	1	0	0	0	1	0	0	0	0	0	0	0
TNFAIP8	1	0	0	0	1	0	0	0	0	0	0	0
APBB1IP	1	0	0	0	1	0	0	0	0	0	0	0
NCF4	1	0	0	0	0	1	0	0	0	0	0	0
NF1	1	0	0	0	0	1	0	0	0	0	0	0
PTPN6	1	0	0	0	0	1	0	0	0	0	0	0
MEF2C	1	0	0	0	0	1	0	0	0	0	0	0
NCF2	1	0	0	0	0	1	0	0	0	0	0	0
TEC	1	0	0	0	0	1	0	0	0	0	0	0
SAMSN1	1	0	0	0	0	0	1	0	0	0	0	0
WDFY2	1	0	0	0	0	0	1	0	0	0	0	0
GSTM4	1	0	0	0	0	0	1	0	0	0	0	0
TLCD2	1	0	0	0	0	0	1	0	0	0	0	0
RHBDF1	1	0	0	0	0	0	1	0	0	0	0	0
DAPP1	1	0	0	0	0	0	1	0	0	0	0	0
CMTM3	1	0	0	0	0	0	1	0	0	0	0	0
SH3PXD2A	1	0	0	0	0	0	1	0	0	0	0	0
HS1BP3	1	0	0	0	0	0	1	0	0	0	0	0
PLEKHM3	1	0	0	0	0	0	1	0	0	0	0	0
SLC29A3	1	0	0	0	0	0	1	0	0	0	0	0
FAM49A	1	0	0	0	0	0	1	0	0	0	0	0
NOTCH2	1	0	0	0	0	0	1	0	0	0	0	0
SETBP1	1	0	0	0	0	0	1	0	0	0	0	0
H2-EB2	1	0	0	0	0	0	1	0	0	0	0	0
TMEM132A	1	0	0	0	0	0	1	0	0	0	0	0
BLK	1	0	0	0	0	0	1	0	0	0	0	0
SLC25A24	1	0	0	0	0	0	1	0	0	0	0	0
MAN2B2	1	0	0	0	0	0	1	0	0	0	0	0
ZMIZ2	1	0	0	0	0	0	1	0	0	0	0	0
PKP3	1	0	0	0	0	0	1	0	0	0	0	0
NFKBIA	1	0	0	0	0	0	1	0	0	0	0	0
BMP2K	1	0	0	0	0	0	1	0	0	0	0	0
ITGAL	1	0	0	0	0	0	1	0	0	0	0	0
RNF122	1	0	0	0	0	0	1	0	0	0	0	0
NID1	1	0	0	0	0	0	1	0	0	0	0	0
GPR137B	1	0	0	0	0	0	1	0	0	0	0	0
CD36	1	0	0	0	0	0	1	0	0	0	0	0
KLF6	1	0	0	0	0	0	1	0	0	0	0	0
FLOT2	1	0	0	0	0	0	1	0	0	0	0	0
CAR13	1	0	0	0	0	0	1	0	0	0	0	0
CREBL2	1	0	0	0	0	0	1	0	0	0	0	0
PSAP	1	0	0	0	0	0	1	0	0	0	0	0
DUSP6	1	0	0	0	0	0	1	0	0	0	0	0
IL9R	1	0	0	0	0	0	1	0	0	0	0	0
DHX57	1	0	0	0	0	0	1	0	0	0	0	0
BPHL	1	0	0	0	0	0	1	0	0	0	0	0
BCL2A1D	1	0	0	0	0	0	1	0	0	0	0	0
LYNX1	1	0	0	0	0	0	1	0	0	0	0	0
TGFBR2	1	0	0	0	0	0	1	0	0	0	0	0
NFKBIE	1	0	0	0	0	0	1	0	0	0	0	0
UNC119	1	0	0	0	0	0	1	0	0	0	0	0
ALDH3B1	1	0	0	0	0	0	1	0	0	0	0	0
RPS6KC1	1	0	0	0	0	0	1	0	0	0	0	0
FCHSD1	1	0	0	0	0	0	1	0	0	0	0	0
PIRB	1	0	0	0	0	0	1	0	0	0	0	0
ALDH2	1	0	0	0	0	0	1	0	0	0	0	0
NFKB2	1	0	0	0	0	0	1	0	0	0	0	0
PTMS	1	0	0	0	0	0	1	0	0	0	0	0
RYR1	1	0	0	0	0	0	1	0	0	0	0	0
CTSB	1	0	0	0	0	0	1	0	0	0	0	0
DSE	1	0	0	0	0	0	1	0	0	0	0	0
TMEM176A	1	0	0	0	0	0	1	0	0	0	0	0
DPY19L3	1	0	0	0	0	0	1	0	0	0	0	0
CAND2	1	0	0	0	0	0	1	0	0	0	0	0
SLC31A2	1	0	0	0	0	0	1	0	0	0	0	0
AGA	1	0	0	0	0	0	1	0	0	0	0	0
GHDC	1	0	0	0	0	0	1	0	0	0	0	0
NLRX1	1	0	0	0	0	0	1	0	0	0	0	0
CNN2	1	0	0	0	0	0	1	0	0	0	0	0
EBI3	1	0	0	0	0	0	1	0	0	0	0	0
PGAP1	1	0	0	0	0	0	1	0	0	0	0	0
FSCN1	1	0	0	0	0	0	1	0	0	0	0	0
ZFP52	1	0	0	0	0	0	1	0	0	0	0	0
RELB	1	0	0	0	0	0	1	0	0	0	0	0
LAMP2	1	0	0	0	0	0	1	0	0	0	0	0
ADM	1	0	0	0	0	0	1	0	0	0	0	0
GRAP	1	0	0	0	0	0	1	0	0	0	0	0
TMEM176B	1	0	0	0	0	0	1	0	0	0	0	0
S1PR3	1	0	0	0	0	0	1	0	0	0	0	0
BASP1	1	0	0	0	0	0	1	0	0	0	0	0
ADORA2A	1	0	0	0	0	0	1	0	0	0	0	0
KYNU	1	0	0	0	0	0	1	0	0	0	0	0
SH3TC1	1	0	0	0	0	0	1	0	0	0	0	0
S100A11	1	0	0	0	0	0	1	0	0	0	0	0
NFAM1	1	0	0	0	0	0	1	0	0	0	0	0
FAM169B	1	0	0	0	0	0	1	0	0	0	0	0
UGDH	1	0	0	0	0	0	1	0	0	0	0	0
ZFP839	1	0	0	0	0	0	1	0	0	0	0	0
BMYC	1	0	0	0	0	0	1	0	0	0	0	0
P2RX4	1	0	0	0	0	0	1	0	0	0	0	0
UNC93B1	1	0	0	0	0	0	1	0	0	0	0	0
ZNFX1	1	0	0	0	0	0	1	0	0	0	0	0
CYB561A3	1	0	0	0	0	0	1	0	0	0	0	0
ANXA4	1	0	0	0	0	0	1	0	0	0	0	0
GRAMD3	1	0	0	0	0	0	1	0	0	0	0	0
UBE2L6	1	0	0	0	0	0	0	1	0	0	0	0
MILR1	1	0	0	0	0	0	0	1	0	0	0	0
TESPA1	1	0	0	0	0	0	0	1	0	0	0	0
BHLHE40	1	0	0	0	0	0	0	1	0	0	0	0
TMEM64	1	0	0	0	0	0	0	1	0	0	0	0
ABCG1	1	0	0	0	0	0	0	1	0	0	0	0
MNDAL	1	0	0	0	0	0	0	1	0	0	0	0
TNK2	1	0	0	0	0	0	0	1	0	0	0	0
PARP16	1	0	0	0	0	0	0	1	0	0	0	0
ELL3	1	0	0	0	0	0	0	1	0	0	0	0
FH1	1	0	0	0	0	0	0	1	0	0	0	0
MUM1	1	0	0	0	0	0	0	1	0	0	0	0
POLM	1	0	0	0	0	0	0	1	0	0	0	0
CCHCR1	1	0	0	0	0	0	0	1	0	0	0	0
E2F1	1	0	0	0	0	0	0	1	0	0	0	0
TNNI2	1	0	0	0	0	0	0	1	0	0	0	0
RNF168	1	0	0	0	0	0	0	1	0	0	0	0
SIT1	1	0	0	0	0	0	0	1	0	0	0	0
BC147527	1	0	0	0	0	0	0	1	0	0	0	0
CEP152	1	0	0	0	0	0	0	1	0	0	0	0
RNF157	1	0	0	0	0	0	0	1	0	0	0	0
GCNT1	1	0	0	0	0	0	0	1	0	0	0	0
PRKCA	1	0	0	0	0	0	0	1	0	0	0	0
ASB2	1	0	0	0	0	0	0	1	0	0	0	0
TOR3A	1	0	0	0	0	0	0	0	1	0	0	0
ASAH1	1	0	0	0	0	0	0	0	1	0	0	0
SKAP2	1	0	0	0	0	0	0	0	1	0	0	0
LIMD2	1	0	0	0	0	0	0	0	1	0	0	0
NXPE2	1	0	0	0	0	0	0	0	1	0	0	0
PARVG	1	0	0	0	0	0	0	0	1	0	0	0
SLC15A3	1	0	0	0	0	0	0	0	1	0	0	0
HPSE	1	0	0	0	0	0	0	0	1	0	0	0
KCTD14	1	0	0	0	0	0	0	0	1	0	0	0
DNASE2A	1	0	0	0	0	0	0	0	1	0	0	0
GNG10	1	0	0	0	0	0	0	0	1	0	0	0
CD180	1	0	0	0	0	0	0	0	1	0	0	0
STX7	1	0	0	0	0	0	0	0	1	0	0	0
HEXB	1	0	0	0	0	0	0	0	1	0	0	0
CLEC12A	1	0	0	0	0	0	0	0	1	0	0	0
FCRLA	1	0	0	0	0	0	0	0	1	0	0	0
MICU1	1	0	0	0	0	0	0	0	1	0	0	0
HVCN1	1	0	0	0	0	0	0	0	1	0	0	0
CHST10	1	0	0	0	0	0	0	0	1	0	0	0
EPSTI1	1	0	0	0	0	0	0	0	1	0	0	0
TGFB1	1	0	0	0	0	0	0	0	1	0	0	0
KMO	1	0	0	0	0	0	0	0	1	0	0	0
SGK3	1	0	0	0	0	0	0	0	1	0	0	0
CYBA	1	0	0	0	0	0	0	0	1	0	0	0
CARD11	1	0	0	0	0	0	0	0	1	0	0	0
SWAP70	1	0	0	0	0	0	0	0	1	0	0	0
PLXNC1	1	0	0	0	0	0	0	0	1	0	0	0
GM2A	1	0	0	0	0	0	0	0	1	0	0	0
COTL1	1	0	0	0	0	0	0	0	1	0	0	0
FMNL3	1	0	0	0	0	0	0	0	1	0	0	0
CBL	1	0	0	0	0	0	0	0	1	0	0	0
GRN	1	0	0	0	0	0	0	0	1	0	0	0
RAB30	1	0	0	0	0	0	0	0	1	0	0	0
N4BP3	1	0	0	0	0	0	0	0	1	0	0	0
SH3BP1	1	0	0	0	0	0	0	0	0	0	1	0
CD40	1	0	0	0	0	0	0	0	0	0	1	0
ZFP354C	1	0	0	0	0	0	0	0	0	0	1	0
TEP1	1	0	0	0	0	0	0	0	0	0	1	0
TDRD7	1	0	0	0	0	0	0	0	0	0	1	0
SNX10	1	0	0	0	0	0	0	0	0	0	0	1
GLA	0	1	1	0	0	0	0	0	0	0	0	0
EAF2	0	1	1	0	0	0	0	0	0	0	0	0
PTPN22	0	1	0	1	0	0	0	0	0	0	0	0
ADPRM	0	1	0	0	1	0	0	0	0	0	0	0
ATP6V0C-PS2	0	1	0	0	1	0	0	0	0	0	0	0
FAM78A	0	1	0	0	1	0	0	0	0	0	0	0
CYTIP	0	1	0	0	1	0	0	0	0	0	0	0
PDE3B	0	1	0	0	1	0	0	0	0	0	0	0
AICDA	0	1	0	0	0	1	0	0	0	0	0	0
MZB1	0	1	0	0	0	0	1	0	0	0	0	0
H2-Q10	0	1	0	0	0	0	1	0	0	0	0	0
YIPF2	0	1	0	0	0	0	1	0	0	0	0	0
JUND	0	1	0	0	0	0	1	0	0	0	0	0
SOCS3	0	1	0	0	0	0	1	0	0	0	0	0
FOXO1	0	1	0	0	0	0	1	0	0	0	0	0
WFS1	0	1	0	0	0	0	1	0	0	0	0	0
SLC39A4	0	1	0	0	0	0	1	0	0	0	0	0
TMBIM1	0	1	0	0	0	0	1	0	0	0	0	0
1700017B05RIK	0	1	0	0	0	0	1	0	0	0	0	0
DGKA	0	1	0	0	0	0	1	0	0	0	0	0
CDKN1A	0	1	0	0	0	0	1	0	0	0	0	0
STAT4	0	1	0	0	0	0	1	0	0	0	0	0
GBP2	0	1	0	0	0	0	1	0	0	0	0	0
H2-K2	0	1	0	0	0	0	1	0	0	0	0	0
TGFB3	0	1	0	0	0	0	1	0	0	0	0	0
SERPINA3F	0	1	0	0	0	0	1	0	0	0	0	0
TNFRSF1B	0	1	0	0	0	0	1	0	0	0	0	0
EXTL1	0	1	0	0	0	0	1	0	0	0	0	0
JUN	0	1	0	0	0	0	1	0	0	0	0	0
PLA2G6	0	1	0	0	0	0	1	0	0	0	0	0
PRF1	0	1	0	0	0	0	1	0	0	0	0	0
PSEN2	0	1	0	0	0	0	1	0	0	0	0	0
H2-Q1	0	1	0	0	0	0	1	0	0	0	0	0
TPST2	0	1	0	0	0	0	1	0	0	0	0	0
4632428N05RIK	0	1	0	0	0	0	1	0	0	0	0	0
SMAD1	0	1	0	0	0	0	1	0	0	0	0	0
H2-Q2	0	1	0	0	0	0	1	0	0	0	0	0
MGST2	0	1	0	0	0	0	1	0	0	0	0	0
SERPINA3G	0	1	0	0	0	0	1	0	0	0	0	0
PIM2	0	1	0	0	0	0	1	0	0	0	0	0
MYADM	0	1	0	0	0	0	1	0	0	0	0	0
ANXA1	0	1	0	0	0	0	1	0	0	0	0	0
ATP1B1	0	1	0	0	0	0	1	0	0	0	0	0
CSF1	0	1	0	0	0	0	1	0	0	0	0	0
PIM1	0	1	0	0	0	0	1	0	0	0	0	0
QPCTL	0	1	0	0	0	0	1	0	0	0	0	0
AGPAT4	0	1	0	0	0	0	1	0	0	0	0	0
TRIB1	0	1	0	0	0	0	1	0	0	0	0	0
S100A6	0	1	0	0	0	0	1	0	0	0	0	0
H2-Q6	0	1	0	0	0	0	1	0	0	0	0	0
TMEM184B	0	1	0	0	0	0	1	0	0	0	0	0
SEPP1	0	1	0	0	0	0	1	0	0	0	0	0
CCNG1	0	1	0	0	0	0	1	0	0	0	0	0
PMEPA1	0	1	0	0	0	0	1	0	0	0	0	0
GM8909	0	1	0	0	0	0	1	0	0	0	0	0
CEBPB	0	1	0	0	0	0	1	0	0	0	0	0
CDC25B	0	1	0	0	0	0	0	1	0	0	0	0
CCNE1	0	1	0	0	0	0	0	1	0	0	0	0
PREP	0	1	0	0	0	0	0	1	0	0	0	0
HIST1H2BJ	0	1	0	0	0	0	0	1	0	0	0	0
KIFC5B	0	1	0	0	0	0	0	1	0	0	0	0
FKBP5	0	1	0	0	0	0	0	1	0	0	0	0
PDLIM1	0	1	0	0	0	0	0	1	0	0	0	0
MESDC1	0	1	0	0	0	0	0	1	0	0	0	0
SEC61G	0	1	0	0	0	0	0	1	0	0	0	0
MPP6	0	1	0	0	0	0	0	1	0	0	0	0
MLLT3	0	1	0	0	0	0	0	1	0	0	0	0
MAPK6	0	1	0	0	0	0	0	1	0	0	0	0
SNRPA1	0	1	0	0	0	0	0	1	0	0	0	0
FAM162A	0	1	0	0	0	0	0	1	0	0	0	0
GMDS	0	1	0	0	0	0	0	1	0	0	0	0
HMGA1-RS1	0	1	0	0	0	0	0	1	0	0	0	0
SPN	0	1	0	0	0	0	0	1	0	0	0	0
ENDOG	0	1	0	0	0	0	0	1	0	0	0	0
AURKA	0	1	0	0	0	0	0	1	0	0	0	0
ZFP568	0	1	0	0	0	0	0	1	0	0	0	0
TSPAN2	0	1	0	0	0	0	0	1	0	0	0	0
CRADD	0	1	0	0	0	0	0	1	0	0	0	0
CD24A	0	1	0	0	0	0	0	1	0	0	0	0
MTFP1	0	1	0	0	0	0	0	1	0	0	0	0
NT5DC2	0	1	0	0	0	0	0	1	0	0	0	0
TIRAP	0	1	0	0	0	0	0	1	0	0	0	0
STXBP1	0	1	0	0	0	0	0	1	0	0	0	0
PGK1	0	1	0	0	0	0	0	1	0	0	0	0
MYL4	0	1	0	0	0	0	0	1	0	0	0	0
RASGRP2	0	1	0	0	0	0	0	1	0	0	0	0
ZFPM1	0	1	0	0	0	0	0	1	0	0	0	0
GM4759	0	1	0	0	0	0	0	1	0	0	0	0
CENPV	0	1	0	0	0	0	0	1	0	0	0	0
MIF	0	1	0	0	0	0	0	1	0	0	0	0
EMB	0	1	0	0	0	0	0	0	1	0	0	0
PLXNB2	0	1	0	0	0	0	0	0	1	0	0	0
MAPK12	0	1	0	0	0	0	0	0	0	1	0	0
SGK1	0	1	0	0	0	0	0	0	0	1	0	0
EPCAM	0	1	0	0	0	0	0	0	0	1	0	0
PEAR1	0	1	0	0	0	0	0	0	0	1	0	0
PDE2A	0	1	0	0	0	0	0	0	0	1	0	0
NDRG1	0	1	0	0	0	0	0	0	0	0	0	1
SCO1	0	1	0	0	0	0	0	0	0	0	0	1
SMAGP	0	1	0	0	0	0	0	0	0	0	0	1
CACNA1D	0	0	1	1	0	0	0	0	0	0	0	0
GPR65	0	0	1	1	0	0	0	0	0	0	0	0
GPR114	0	0	1	1	0	0	0	0	0	0	0	0
CYTH4	0	0	1	1	0	0	0	0	0	0	0	0
MAP7	0	0	1	0	1	0	0	0	0	0	0	0
RASSF2	0	0	1	0	1	0	0	0	0	0	0	0
P2RY10	0	0	1	0	0	1	0	0	0	0	0	0
CD33	0	0	1	0	0	1	0	0	0	0	0	0
BTG2	0	0	1	0	0	0	1	0	0	0	0	0
BMF	0	0	1	0	0	0	1	0	0	0	0	0
SLC7A7	0	0	1	0	0	0	1	0	0	0	0	0
PBXIP1	0	0	1	0	0	0	1	0	0	0	0	0
MGAT3	0	0	1	0	0	0	1	0	0	0	0	0
CALCOCO1	0	0	1	0	0	0	1	0	0	0	0	0
FZD2	0	0	1	0	0	0	1	0	0	0	0	0
IGFBP7	0	0	1	0	0	0	1	0	0	0	0	0
ATP13A4	0	0	1	0	0	0	1	0	0	0	0	0
DPEP2	0	0	1	0	0	0	1	0	0	0	0	0
TNFAIP2	0	0	1	0	0	0	1	0	0	0	0	0
TCP11L2	0	0	1	0	0	0	1	0	0	0	0	0
RUNDC3A	0	0	1	0	0	0	1	0	0	0	0	0
C1RL	0	0	1	0	0	0	1	0	0	0	0	0
APOBR	0	0	1	0	0	0	1	0	0	0	0	0
PHACTR1	0	0	1	0	0	0	1	0	0	0	0	0
GXYLT2	0	0	1	0	0	0	1	0	0	0	0	0
BCL6	0	0	1	0	0	0	1	0	0	0	0	0
YPEL3	0	0	1	0	0	0	1	0	0	0	0	0
MXD4	0	0	1	0	0	0	1	0	0	0	0	0
LTB	0	0	1	0	0	0	1	0	0	0	0	0
PNRC1	0	0	1	0	0	0	1	0	0	0	0	0
FAM179A	0	0	1	0	0	0	1	0	0	0	0	0
CD34	0	0	1	0	0	0	1	0	0	0	0	0
NEXN	0	0	1	0	0	0	1	0	0	0	0	0
PIK3IP1	0	0	1	0	0	0	1	0	0	0	0	0
SELL	0	0	1	0	0	0	0	1	0	0	0	0
SPNS3	0	0	1	0	0	0	0	1	0	0	0	0
ZBTB18	0	0	1	0	0	0	0	1	0	0	0	0
MIS18BP1	0	0	1	0	0	0	0	1	0	0	0	0
ZCWPW1	0	0	1	0	0	0	0	1	0	0	0	0
MPP7	0	0	1	0	0	0	0	1	0	0	0	0
BNIP3	0	0	1	0	0	0	0	1	0	0	0	0
ARNTL	0	0	1	0	0	0	0	1	0	0	0	0
MX2	0	0	1	0	0	0	0	1	0	0	0	0
CD244	0	0	1	0	0	0	0	1	0	0	0	0
CD48	0	0	1	0	0	0	0	0	1	0	0	0
PLAC8	0	0	1	0	0	0	0	0	1	0	0	0
YPEL1	0	0	1	0	0	0	0	0	0	1	0	0
ARPP21	0	0	1	0	0	0	0	0	0	1	0	0
MBNL1	0	0	0	1	1	0	0	0	0	0	0	0
CCL9	0	0	0	1	0	0	1	0	0	0	0	0
TNFAIP3	0	0	0	1	0	0	1	0	0	0	0	0
